iter	MultiClass
0	1.29580676
1	1.099416111
2	0.9590954411
3	0.8509582332
4	0.7647432516
5	0.6956347217
6	0.6370426402
7	0.5871718453
8	0.5444871167
9	0.5083748509
10	0.4764076607
11	0.4492172617
12	0.4254840081
13	0.4037739367
14	0.3855638469
15	0.3696549056
16	0.3548957795
17	0.3436063999
18	0.3311487387
19	0.3204559787
20	0.3119439081
21	0.3041023842
22	0.2956917298
23	0.2912064469
24	0.2889625678
25	0.2848511235
26	0.2789425014
27	0.2758529719
28	0.2749879466
29	0.2705054878
30	0.2680255549
31	0.2649008547
32	0.2640749925
33	0.2602224703
34	0.2588551681
35	0.2572300247
36	0.2546763425
37	0.2515957851
38	0.2490091922
39	0.247963369
40	0.2459914681
41	0.2457312606
42	0.2449646324
43	0.2437689863
44	0.2428114766
45	0.2421929777
46	0.2413309348
47	0.2402349345
48	0.2397076291
49	0.2374237986
50	0.2368677101
51	0.2362204307
52	0.2356701539
53	0.2348014625
54	0.2330491767
55	0.2321170461
56	0.2308109947
57	0.2300919488
58	0.229458595
59	0.2282825795
60	0.2263162752
61	0.2257574449
62	0.2249597429
63	0.2239390143
64	0.2227671375
65	0.22173201
66	0.2206580643
67	0.2195906711
68	0.2184807223
69	0.2178791506
70	0.2177170585
71	0.2169355821
72	0.2157413898
73	0.2146926153
74	0.2146645247
75	0.2139680144
76	0.2132540749
77	0.2126263675
78	0.2111352818
79	0.2106729118
80	0.2102470184
81	0.2094981666
82	0.2089134537
83	0.2084794865
84	0.2075396141
85	0.2069530738
86	0.2062600984
87	0.2056377369
88	0.2041962283
89	0.2033748827
90	0.2027232278
91	0.2018189578
92	0.2014181829
93	0.2004492121
94	0.1993865078
95	0.198817476
96	0.1980604833
97	0.1974202405
98	0.1969633782
99	0.1966291853
100	0.1960074003
101	0.1956083346
102	0.1947396315
103	0.1942515672
104	0.1937961599
105	0.1933869641
106	0.192706691
107	0.191765871
108	0.1906539915
109	0.1900517146
110	0.1895915219
111	0.1888729987
112	0.1882591962
113	0.1877682713
114	0.1872391313
115	0.1862542959
116	0.1858483473
117	0.1855509335
118	0.1851275648
119	0.1847500331
120	0.1843264863
121	0.1836245581
122	0.1832929433
123	0.182714822
124	0.1819967546
125	0.1811711542
126	0.1799594882
127	0.1792827444
128	0.1789064152
129	0.1781026328
130	0.1775270365
131	0.1772119826
132	0.1765823406
133	0.1763881765
134	0.1753479035
135	0.1748113482
136	0.1746466995
137	0.17406662
138	0.1733234717
139	0.1729840264
140	0.1727945034
141	0.172582579
142	0.1721485058
143	0.1712487431
144	0.1710289843
145	0.1708780556
146	0.1704998946
147	0.1698239058
148	0.1689104262
149	0.1685594303
150	0.167864273
151	0.1673605822
152	0.1668661723
153	0.1663883568
154	0.1660315753
155	0.1657591046
156	0.1653112454
157	0.1651908997
158	0.1642105658
159	0.1638556829
160	0.1635528554
161	0.163098739
162	0.1629591449
163	0.1624294672
164	0.1617688101
165	0.1616718332
166	0.1611611168
167	0.1607546804
168	0.1604197229
169	0.1593937427
170	0.1587640329
171	0.1582353551
172	0.1575264448
173	0.1565447783
174	0.1563154789
175	0.1557150237
176	0.155271514
177	0.1544849722
178	0.1536953976
179	0.1529191601
180	0.1526757552
181	0.1521530467
182	0.1515708677
183	0.1509100374
184	0.150680723
185	0.1500579459
186	0.1497126292
187	0.1491135932
188	0.1483368643
189	0.1479114729
190	0.1473493465
191	0.1466274108
192	0.1456549073
193	0.1454977084
194	0.1450140375
195	0.1448622655
196	0.1446807634
197	0.144339307
198	0.1438180393
199	0.1428944178
200	0.1414036942
201	0.1407683743
202	0.1403611587
203	0.139775482
