iter	Passed	Remaining
0	186	93089
1	245	61217
2	314	52116
3	367	45565
4	418	41460
5	494	40684
6	584	41186
7	656	40383
8	708	38678
9	821	40237
10	881	39193
11	964	39223
12	1048	39287
13	1149	39911
14	1244	40225
15	1353	40937
16	1438	40873
17	1541	41274
18	1629	41259
19	1741	41806
20	1832	41801
21	1922	41781
22	2007	41627
23	2092	41502
24	2188	41579
25	2297	41883
26	2403	42106
27	2494	42058
28	2590	42072
29	2684	42059
30	2775	41997
31	2869	41960
32	2968	42012
33	3061	41964
34	3159	41971
35	3255	41954
36	3347	41889
37	3437	41797
38	3530	41730
39	3621	41648
40	3712	41558
41	3806	41512
42	3906	41521
43	4000	41461
44	4085	41308
45	4173	41189
46	4261	41071
47	4363	41091
48	4449	40956
49	4576	41189
50	4703	41407
51	4805	41405
52	4901	41342
53	5032	41567
54	5131	41518
55	5236	41520
56	5335	41463
57	5467	41664
58	5567	41611
59	5659	41505
60	5745	41345
61	5832	41205
62	5931	41143
63	6021	41019
64	6109	40883
65	6197	40752
66	6278	40578
67	6364	40431
68	6446	40267
69	6524	40078
70	6618	39989
71	6729	40004
72	6819	39891
73	6904	39746
74	6964	39463
75	7067	39429
76	7150	39283
77	7235	39144
78	7329	39060
79	7414	38927
80	7496	38779
81	7575	38616
82	7657	38472
83	7742	38343
84	7841	38283
85	7930	38177
86	8014	38045
87	8091	37884
88	8173	37746
89	8253	37598
90	8328	37433
91	8405	37277
92	8484	37129
93	8562	36982
94	8647	36864
95	8724	36716
96	8800	36562
97	8891	36473
98	8968	36328
99	9049	36199
100	9128	36062
101	9206	35924
102	9290	35809
103	9367	35669
104	9443	35524
105	9521	35392
106	9605	35278
107	9685	35153
108	9764	35027
109	9844	34904
110	9922	34774
111	10002	34653
112	10080	34524
113	10160	34401
114	10239	34278
115	10329	34195
116	10408	34073
117	10506	34011
118	10603	33949
119	10688	33848
120	10805	33844
121	10889	33739
122	10971	33627
123	11052	33512
124	11132	33397
125	11211	33278
126	11288	33153
127	11373	33054
128	11458	32955
129	11542	32850
130	11623	32739
131	11699	32617
132	11775	32493
133	11853	32377
134	11931	32259
135	12010	32146
136	12086	32023
137	12166	31914
138	12246	31804
139	12327	31700
140	12407	31589
141	12484	31474
142	12559	31354
143	12639	31247
144	12717	31136
145	12798	31031
146	12882	30935
147	12957	30817
148	13041	30722
149	13125	30627
150	13205	30520
151	13291	30429
152	13374	30333
153	13496	30322
154	13585	30239
155	13663	30130
156	13746	30032
157	13825	29926
158	13910	29833
159	14000	29751
160	14079	29644
161	14164	29552
162	14254	29471
163	14335	29371
164	14418	29273
165	14505	29185
166	14589	29092
167	14674	28999
168	14756	28901
169	14846	28819
170	14931	28727
171	15014	28631
172	15098	28538
173	15181	28443
174	15280	28377
175	15372	28298
176	15450	28195
177	15530	28093
178	15610	27994
179	15690	27894
180	15769	27792
181	15850	27694
182	15928	27592
183	16018	27510
184	16100	27414
185	16182	27318
186	16260	27216
187	16336	27111
188	16414	27009
189	16504	26928
190	16598	26853
191	16677	26754
192	16762	26663
193	16846	26571
194	16928	26477
195	17008	26379
196	17085	26278
197	17162	26177
198	17235	26070
199	17313	25969
200	17413	25903
201	17498	25814
202	17578	25718
203	17657	25620
204	17734	25519
205	17822	25435
206	17902	25339
207	17980	25242
208	18057	25142
209	18142	25054
210	18223	24959
211	18304	24866
212	18386	24774
213	18465	24678
214	18548	24587
215	18626	24489
216	18701	24389
217	18785	24300
218	18864	24204
219	18944	24110
220	19021	24013
221	19098	23915
222	19176	23820
223	19261	23732
224	19339	23637
225	19416	23540
226	19501	23453
227	19587	23367
228	19677	23286
229	19755	23190
230	19833	23095
231	19909	22998
232	19991	22908
233	20068	22812
234	20147	22719
235	20225	22625
236	20313	22541
237	20392	22448
238	20468	22352
239	20544	22256
240	20622	22162
241	20706	22075
242	20788	21985
243	20874	21900
244	20955	21810
245	21045	21730
246	21124	21637
247	21210	21553
248	21295	21466
249	21372	21372
250	21462	21291
251	21541	21199
252	21621	21108
253	21698	21015
254	21773	20919
255	21868	20843
256	21958	20762
257	22037	20671
258	22116	20579
259	22193	20486
260	22277	20399
261	22359	20311
262	22439	20221
263	22527	20138
264	22608	20049
265	22689	19959
266	22773	19873
267	22854	19784
268	22936	19696
269	23023	19612
270	23102	19522
271	23184	19434
272	23265	19345
273	23348	19258
274	23435	19174
275	23515	19084
276	23595	18995
277	23670	18902
278	23749	18812
279	23836	18728
280	23913	18636
281	23989	18545
282	24068	18455
283	24145	18363
284	24225	18275
285	24304	18185
286	24383	18096
287	24464	18008
288	24540	17917
289	24616	17825
290	24692	17734
291	24768	17643
292	24850	17556
293	24936	17472
294	25026	17391
295	25108	17304
296	25191	17218
297	25268	17128
298	25354	17044
299	25464	16976
300	25559	16898
301	25638	16809
302	25720	16722
303	25799	16633
304	25879	16545
305	25959	16458
306	26041	16371
307	26126	16286
308	26202	16196
309	26284	16109
310	26358	16018
311	26437	15930
312	26523	15846
313	26602	15758
314	26676	15667
315	26757	15580
316	26834	15491
317	26915	15404
318	26994	15316
319	27077	15230
320	27155	15142
321	27233	15054
322	27309	14965
323	27388	14877
324	27468	14790
325	27549	14704
326	27632	14618
327	27712	14532
328	27790	14444
329	27871	14358
330	27952	14271
331	28033	14185
332	28113	14098
333	28189	14010
334	28269	13923
335	28349	13837
336	28425	13748
337	28521	13670
338	28601	13583
339	28678	13495
340	28759	13409
341	28836	13322
342	28912	13233
343	28994	13148
344	29078	13064
345	29159	12978
346	29247	12895
347	29332	12811
348	29410	12724
349	29493	12639
350	29572	12553
351	29655	12468
352	29744	12386
353	29826	12301
354	29905	12214
355	29983	12128
356	30060	12040
357	30139	11954
358	30218	11868
359	30296	11781
360	30375	11695
361	30453	11609
362	30553	11531
363	30643	11449
364	30725	11364
365	30805	11278
366	30885	11192
367	30962	11106
368	31036	11018
369	31116	10932
370	31198	10848
371	31261	10756
372	31341	10671
373	31425	10587
374	31523	10507
375	31605	10423
376	31686	10337
377	31769	10253
378	31854	10169
379	31934	10084
380	32021	10001
381	32108	9918
382	32189	9833
383	32281	9751
