iter	RMSE
0	38328348.59
1	36743095.82
2	35427704.86
3	34440179.75
4	33324350.3
5	32176095.3
6	31294027.63
7	30361576.71
8	29665444.88
9	29187990.3
10	28529722.41
11	27837370.3
12	27203716.05
13	26644867.01
14	26191463.13
15	25895402.64
16	25521468.61
17	25134273.15
18	24690804.42
19	24313979.28
20	24029910.26
21	23823082.54
22	23464310.44
23	23168691.32
24	22804198.22
25	22584137.88
26	22454940.35
27	22329566.23
28	22153400.61
29	21725922.8
30	21488475.72
31	21310232.77
32	21207005.08
33	21085056.03
34	20884011.7
35	20760361.8
36	20613110.07
37	20341942.26
38	20231081.03
39	20046109.46
40	19844008.91
41	19767602.38
42	19604641.24
43	19465998.24
44	19307392.7
45	19232195.04
46	19164162.29
47	19031823.2
48	18901249.36
49	18759718.07
50	18621773.6
51	18483798.88
52	18252076.35
53	18071728.21
54	17924840.23
55	17894724.5
56	17773487.39
57	17618265.79
58	17595864.38
59	17467991.26
60	17325302.72
61	17151222.06
62	16983993.27
63	16779524.91
64	16566242.01
65	16394383.61
66	16312501.05
67	16222314.51
68	16015591.63
69	15848727.15
70	15796153.65
71	15669456.29
72	15553124
73	15418586.28
74	15296835.23
75	15223616.75
76	15050256.63
77	14851511.37
78	14625950.43
79	14514573.78
80	14456772.43
81	14346614.15
82	14317928.76
83	14138654.11
84	14006002.46
85	13949520.83
86	13854621.98
87	13789050.51
88	13748995.63
89	13644578.95
90	13540070.69
91	13465925.48
92	13373774.83
93	13282434.71
94	13172365.43
95	13087676.01
96	13055931.39
97	13005569.8
98	12953651.5
99	12901351.87
100	12851544.95
101	12754062.38
102	12727196.49
103	12664337.26
104	12580093.84
105	12486775.39
106	12418853.98
107	12374658.71
108	12324278.71
109	12258725.1
110	12215449.46
111	12103630.24
112	12054507.41
113	12006129.67
114	11891263.7
115	11775197.87
116	11743913.39
117	11676780.26
118	11649755.28
119	11492190.29
120	11439119.01
121	11387577.49
