iter	Passed	Remaining
0	258	129222
1	301	75057
2	334	55454
3	381	47346
4	429	42543
5	468	38571
6	490	34555
7	537	33066
8	587	32070
9	604	29602
10	628	27943
11	679	27648
12	730	27358
13	779	27046
14	802	25950
15	833	25198
16	863	24541
17	908	24319
18	952	24117
19	997	23932
20	1042	23786
21	1066	23169
22	1111	23048
23	1162	23065
24	1214	23072
25	1265	23075
26	1317	23087
27	1341	22617
28	1390	22587
29	1441	22590
30	1491	22560
31	1540	22524
32	1590	22511
33	1626	22288
34	1676	22273
35	1724	22229
36	1772	22179
37	1820	22130
38	1867	22072
39	1916	22035
40	1963	21977
41	2012	21946
42	2059	21893
43	2111	21886
44	2164	21882
45	2224	21951
46	2274	21917
47	2333	21973
48	2381	21921
49	2430	21870
50	2483	21863
51	2523	21737
52	2575	21722
53	2626	21690
54	2674	21641
55	2689	21326
56	2737	21274
57	2784	21223
58	2800	20933
59	2851	20913
60	2898	20862
61	2945	20807
62	2992	20754
63	3037	20695
64	3085	20649
65	3134	20609
66	3182	20567
67	3245	20618
68	3307	20660
69	3366	20680
70	3417	20648
71	3467	20613
72	3521	20596
73	3570	20554
74	3619	20512
75	3670	20475
76	3719	20432
77	3773	20415
78	3821	20367
79	3872	20329
80	3921	20285
81	3970	20238
82	4020	20199
83	4071	20161
84	4120	20117
85	4175	20101
86	4225	20056
87	4275	20018
88	4325	19977
89	4374	19927
90	4423	19882
91	4470	19825
92	4520	19781
93	4569	19735
94	4617	19684
95	4663	19627
96	4710	19569
97	4758	19518
98	4806	19469
99	4855	19420
100	4901	19361
101	4948	19309
102	4996	19257
103	5051	19235
104	5098	19181
105	5147	19134
106	5209	19133
107	5256	19079
108	5310	19050
109	5357	18995
110	5405	18942
111	5452	18889
112	5500	18836
113	5546	18780
114	5594	18730
115	5643	18681
116	5694	18640
117	5744	18595
118	5792	18544
119	5838	18489
120	5892	18457
121	5941	18408
