Universitas Rekanan,Negara,Program (GC),Jenis (SE/SA),Kuota per batch,Biaya studi (1 semester),Historis Biaya Akomodasi / mhs
Maastricht University,Netherlands,IR,SA,16,86250000,76500000
Utrecht University,Netherlands,IR,SA,17,104250000,99000000
Tilburg University,Netherlands,"IR, IBM",SE,7,0,85500000
University of Glasgow,UK,"IR, IBM",SE,13,0,102258620
University College London,UK,CS,SA,6,285000000,180000000
University of Nottingham,UK,CS,SA,11,231000000,84000000
University of Cambridge,UK,CS,SE,6,0,157050000
University of Oxford,UK,"IR, IBM",SA,6,292125000,146250000
Imperial College London,UK,"CS, IR, IBM",SA,9,302456896,173172413
King's College London,UK,"CS, IR",SA,11,279375000,175500000
University of Edinburgh,UK,CS,SE,13,0,120315789
University of Manchester,UK,"CS, IBM",SA,11,249000000,106312500
University of Bristol,UK,"CS, IBM",SE,12,0,120789473
University of Warwick,UK,"CS, IR",SA,18,256105263,102789473
University of Birmingham,UK,"IR, IBM",SA,17,249375000,108000000
University of Leeds,UK,IR,SE,20,0,112500000
University of Sheffield,UK,"CS, IBM",SA,16,234000000,94218750
University of Southampton,UK,CS,SA,9,219000000,117000000
Durham University,UK,"CS, IR",SA,20,236765625,98718750
University of Liverpool,UK,"CS, IR, IBM",SE,5,0,99000000
Cardiff University,UK,"CS, IR, IBM",SE,13,0,94500000
Newcastle University,UK,"CS, IR",SE,16,0,99000000
University of Aberdeen,UK,CS,SA,11,207750000,90000000
University of Leicester,UK,IR,SA,11,205500000,85500000
University of Reading,UK,"CS, IBM",SE,17,0,103500000
University of Sussex,UK,"CS, IR, IBM",SE,11,0,108000000
University of Essex,UK,"CS, IR, IBM",SA,5,198750000,90000000
University of Bath,UK,"CS, IR, IBM",SA,8,196500000,112500000
University of Surrey,UK,IR,SA,13,194250000,103500000
University of Exeter,UK,"CS, IR, IBM",SE,8,0,108000000
University of Kent,UK,CS,SA,9,189750000,99000000
University of Dundee,UK,CS,SA,7,187500000,85500000
University of Strathclyde,UK,"CS, IBM",SE,15,0,90000000
Heriot-Watt University,UK,"IR, IBM",SE,18,0,101250000
Loughborough University,UK,IR,SE,13,0,81000000
Brunel University London,UK,CS,SA,9,178500000,162000000
Queen Mary University of London,UK,"CS, IBM",SA,11,176250000,171000000
Royal Holloway University,UK,"CS, IBM",SE,20,0,126000000
Lancaster University,UK,IR,SA,14,171750000,90000000
Swansea University,UK,CS,SA,5,169500000,85500000
Aston University,UK,"IR, IBM",SA,7,167250000,108000000
University of Hull,UK,"CS, IBM",SE,10,0,76500000
Keele University,UK,IR,SE,15,0,72000000
University of Plymouth,UK,"CS, IBM",SE,5,0,85500000
University of Portsmouth,UK,"CS, IR, IBM",SA,14,158250000,90000000
Ulster University,UK,"CS, IR",SE,20,0,72000000
